"MEASURE","Data item","REGIONTYPE","Geography Level","LGA_2019","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","23350","Indigo (S)","A","Annual","2016","2016",40.2,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","23430","Kingston (C) (Vic.)","A","Annual","2016","2016",83.4,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","23430","Kingston (C) (Vic.)","A","Annual","2016","2016",26,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","23430","Kingston (C) (Vic.)","A","Annual","2016","2016",51198,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","23430","Kingston (C) (Vic.)","A","Annual","2016","2016",58.5,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","23670","Knox (C)","A","Annual","2016","2016",85.3,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","23670","Knox (C)","A","Annual","2016","2016",25.2,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","23670","Knox (C)","A","Annual","2016","2016",48692,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","23670","Knox (C)","A","Annual","2016","2016",55,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","23810","Latrobe (C) (Vic.)","A","Annual","2016","2016",87.6,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","23810","Latrobe (C) (Vic.)","A","Annual","2016","2016",6.6,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","23810","Latrobe (C) (Vic.)","A","Annual","2016","2016",47051,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","23810","Latrobe (C) (Vic.)","A","Annual","2016","2016",35.1,,
